Country Name,Year,Exports_GDP_percent,GDP growth (annual %),GDP_per_capita,Imports_GDP_percent,"Inflation, consumer prices (annual %)",Population_growth_percent,"Unemployment, total (% of total labor force) (national estimate)"
American Samoa,2015,63.59583952,3.149606299,12387.00405,98.81129272,,-1.105856451,
American Samoa,2016,63.93442623,-1.679389313,12326.53842,95.23099851,,-1.204318086,
American Samoa,2017,59.1503268,-6.98757764,11611.67759,102.2875817,,-1.269387464,
American Samoa,2018,68.23161189,2.671118531,12080.61601,103.599374,,-1.323023571,
American Samoa,2019,61.66924266,-0.487804878,12189.04977,94.89953632,,-1.382578863,
American Samoa,2020,59.22330097,4.411764706,12841.38181,95.14563107,,-0.89627488,
American Samoa,2021,44.26666667,-0.782472613,12879.63433,92.53333333,,-1.082992017,
American Samoa,2022,46.95752009,1.735015773,13342.43515,77.72675086,,-1.81008765,
American Samoa,2023,,,,,,-1.712902942,
American Samoa,2024,,,,,,-1.603665872,
Australia,2015,20.06612629,2.190169287,88732.80331,21.59780564,1.508366722,1.439216653,6.055
Australia,2016,19.27874425,2.759385972,89768.15131,21.69533522,1.276990945,1.561940498,5.711
Australia,2017,21.25661748,2.279591798,90314.85422,20.94711419,1.948647409,1.646827797,5.592
Australia,2018,21.89409054,2.878469715,91534.88699,21.84197454,1.911400944,1.49599671,5.345
Australia,2019,24.159678,2.171545057,92150.97826,22.0278239,1.610767873,1.477490711,5.143
Australia,2020,24.02673916,-0.119590736,90912.48991,20.63771691,0.846905537,1.233428251,6.394
Australia,2021,22.05667598,2.111168148,92701.10209,18.24580429,2.863910422,0.140895083,5.023
Australia,2022,25.53158803,4.242385553,95411.77561,20.2901822,6.594096713,1.272698814,3.728
Australia,2023,26.79924113,3.4419922,96331.91318,22.42594293,5.597014925,2.424315539,3.668
Australia,2024,24.70520931,1.43111252,95727.81783,22.60901971,3.161614283,2.050041134,
Brunei Darussalam,2015,52.2130113,-0.392383488,44047.45708,37.68317708,-0.488347421,1.302103593,
Brunei Darussalam,2016,49.57777733,-2.477917765,42418.29887,37.74202392,-0.278693266,1.259642722,
Brunei Darussalam,2017,49.57330652,1.328726513,42464.67545,35.6035539,-1.260505646,1.210704566,9.316
Brunei Darussalam,2018,51.93323975,0.052371054,41998.00604,41.96482195,1.025051793,1.157399588,8.7
Brunei Darussalam,2019,57.94604061,3.868844164,43142.94093,50.56361788,-0.390522069,1.106213509,6.6
Brunei Darussalam,2020,57.35611137,1.133573406,43171.30111,52.9348922,1.940319966,1.061482816,7.409
Brunei Darussalam,2021,80.16891083,-1.590762481,42078.5326,66.95420158,1.733413885,0.960274305,4.905
Brunei Darussalam,2022,86.38935701,-1.62833154,41061.6587,60.58460908,3.682250306,0.804554269,5.191
Brunei Darussalam,2023,76.70320243,1.127644192,41200.86813,60.16023187,0.357064312,0.782881747,5.296
Brunei Darussalam,2024,74.29828444,4.200372735,42581.49034,58.9249341,-0.388674165,0.818518789,
Cambodia,2015,55.98122031,7.207034725,6106675.539,66.1283765,1.223931955,1.46023763,0.393
Cambodia,2016,56.43183772,7.905501161,6494022.351,66.27271788,3.019139751,1.458607676,0.716
Cambodia,2017,56.30005367,8.075039155,6922106.029,64.85539763,2.912635574,1.381765961,0.141
Cambodia,2018,55.47139736,8.776223762,7436541.049,62.96625806,2.459085154,1.243682774,
Cambodia,2019,55.44686797,7.936950136,7926067.996,60.2898111,1.942575008,1.26258301,0.499
Cambodia,2020,59.92179794,-3.555721934,7532643.186,62.18359841,2.940295143,1.470629886,0.172
Cambodia,2021,72.36103464,3.089842842,7651555.036,73.81881187,2.920734776,1.476778362,0.396
Cambodia,2022,72.20706068,5.129901108,7937723.899,73.66657208,5.343702649,1.330888131,
Cambodia,2023,66.89266606,5.007330438,8228917.534,67.31417634,2.127467966,1.283206776,
Cambodia,2024,71.36358417,6.015814574,8617656.428,72.08342554,,1.225939863,
China,2015,20.93906422,6.978780027,56703.23536,17.75812061,1.437023809,0.581456147,
China,2016,19.20365074,6.775555628,60199.23205,16.97351996,2.000001822,0.573050906,
China,2017,19.33563017,6.891266362,63959.43633,17.61522245,1.593136001,0.605245013,3.9
China,2018,18.7705198,6.756718002,67962.40949,18.12386459,2.0747904,0.467672053,4.93
China,2019,18.05570696,6.068502351,71831.44191,17.14371331,2.899234164,0.35474089,5.15
China,2020,18.20358217,2.340188431,73337.65148,15.83536862,2.419421895,0.23804087,5.61
