Country Name,Year,Exports_GDP_percent,GDP growth (annual %),GDP_per_capita,Imports_GDP_percent,"Inflation, consumer prices (annual %)",Population_growth_percent,"Unemployment, total (% of total labor force) (national estimate)",Group,x,y
American Samoa,2015,63.59583952,3.149606299,12387.00405,98.81129272,,-1.105856451,,Group C: Emerging / High-growth,558995.241,-1625876.591
American Samoa,2016,63.93442623,-1.679389313,12326.53842,95.23099851,,-1.204318086,,Group C: Emerging / High-growth,1523516.468,879198.916
American Samoa,2017,59.1503268,-6.98757764,11611.67759,102.2875817,,-1.269387464,,Group C: Emerging / High-growth,1739513.927,827735.7171
American Samoa,2018,68.23161189,2.671118531,12080.61601,103.599374,,-1.323023571,,Group C: Emerging / High-growth,1800171.153,779708.3623
American Samoa,2019,61.66924266,-0.487804878,12189.04977,94.89953632,,-1.382578863,,Group C: Emerging / High-growth,1859406.817,832702.562
American Samoa,2020,59.22330097,4.411764706,12841.38181,95.14563107,,-0.89627488,,Group C: Emerging / High-growth,1778312.276,872497.4072
American Samoa,2021,44.26666667,-0.782472613,12879.63433,92.53333333,,-1.082992017,,Group C: Emerging / High-growth,1749745.612,943118.6239
American Samoa,2022,46.95752009,1.735015773,13342.43515,77.72675086,,-1.81008765,,Group C: Emerging / High-growth,1848558.94,1066139.42
American Samoa,2023,,,,,,-1.712902942,,Group B: Transitional / Mixed,-1.331160351,-0.975841751
American Samoa,2024,,,,,,-1.603665872,,Group B: Transitional / Mixed,0.494131584,1.411420082
Australia,2015,20.06612629,2.190169287,88732.80331,21.59780564,1.508366722,1.439216653,6.055,Group C: Emerging / High-growth,455799.594,-1343379.075
Australia,2016,19.27874425,2.759385972,89768.15131,21.69533522,1.276990945,1.561940498,5.711,Group C: Emerging / High-growth,1265371.955,724790.2344
Australia,2017,21.25661748,2.279591798,90314.85422,20.94711419,1.948647409,1.646827797,5.592,Group C: Emerging / High-growth,1404526.283,658884.4401
Australia,2018,21.89409054,2.878469715,91534.88699,21.84197454,1.911400944,1.49599671,5.345,Group C: Emerging / High-growth,1479700.902,620588.0457
Australia,2019,24.159678,2.171545057,92150.97826,22.0278239,1.610767873,1.477490711,5.143,Group C: Emerging / High-growth,1524164.337,666465.9328
Australia,2020,24.02673916,-0.119590736,90912.48991,20.63771691,0.846905537,1.233428251,6.394,Group C: Emerging / High-growth,1460539.432,708175.3866
Australia,2021,22.05667598,2.111168148,92701.10209,18.24580429,2.863910422,0.140895083,5.023,Group C: Emerging / High-growth,1433838.742,758662.1114
Australia,2022,25.53158803,4.242385553,95411.77561,20.2901822,6.594096713,1.272698814,3.728,Group C: Emerging / High-growth,1494356.559,864142.7723
