Country Name,Year,Exports_GDP_percent,GDP growth (annual %),GDP_per_capita,Imports_GDP_percent,"Inflation, consumer prices (annual %)",Population_growth_percent,"Unemployment, total (% of total labor force) (national estimate)",Group,x,y
American Samoa,2015,63.59583952,3.149606299,12387.00405,98.81129272,,-1.105856451,,Group C: Emerging / High-growth,558995.2409662058,-1625876.590537358
American Samoa,2016,63.93442623,-1.679389313,12326.53842,95.23099851,,-1.204318086,,Group C: Emerging / High-growth,1523516.4677949494,879198.9159585192
American Samoa,2017,59.1503268,-6.98757764,11611.67759,102.2875817,,-1.269387464,,Group C: Emerging / High-growth,1739513.9273922523,827735.7170982353
American Samoa,2018,68.23161189,2.671118531,12080.61601,103.599374,,-1.323023571,,Group C: Emerging / High-growth,1800171.1525493155,779708.3622739249
American Samoa,2019,61.66924266,-0.487804878,12189.04977,94.89953632,,-1.382578863,,Group C: Emerging / High-growth,1859406.8173174802,832702.5619961682
American Samoa,2020,59.22330097,4.411764706,12841.38181,95.14563107,,-0.89627488,,Group C: Emerging / High-growth,1778312.2757824676,872497.4071562748
American Samoa,2021,44.26666667,-0.782472613,12879.63433,92.53333333,,-1.082992017,,Group C: Emerging / High-growth,1749745.6124143882,943118.6238836066
American Samoa,2022,46.95752009,1.735015773,13342.43515,77.72675086,,-1.81008765,,Group C: Emerging / High-growth,1848558.9397995537,1066139.4204897692
American Samoa,2023,,,,,,-1.712902942,,Group B: Transitional / Mixed,-1.3311603509274719,-0.975841750883143
American Samoa,2024,,,,,,-1.603665872,,Group B: Transitional / Mixed,0.49413158364033793,1.4114200817680158
Australia,2015,20.06612629,2.190169287,88732.80331,21.59780564,1.508366722,1.439216653,6.055,Group C: Emerging / High-growth,455799.5940235187,-1343379.0752195925
Australia,2016,19.27874425,2.759385972,89768.15131,21.69533522,1.276990945,1.561940498,5.711,Group C: Emerging / High-growth,1265371.9551404186,724790.2344431191
Australia,2017,21.25661748,2.279591798,90314.85422,20.94711419,1.948647409,1.646827797,5.592,Group C: Emerging / High-growth,1404526.2825706655,658884.4401189043
Australia,2018,21.89409054,2.878469715,91534.88699,21.84197454,1.911400944,1.49599671,5.345,Group C: Emerging / High-growth,1479700.90176463,620588.0456718588
