,Country,Year,Group,Variable,Value,eta2_all,eta2_loo,delta_eta2,delta_eta2_pos,share_pos_pct
0,American Samoa,2015,Group C: Emerging / High-growth,Exports (% of GDP),63.59583952,0.023709997275814215,0.022178795875520966,0.0015312014002932493,0.0015312014002932493,16.48378081510263
1,American Samoa,2015,Group C: Emerging / High-growth,GDP Growth (%),3.149606299,0.014316810857366415,0.014162816034924879,0.00015399482244153606,0.00015399482244153606,1.6577942648829742
2,American Samoa,2015,Group C: Emerging / High-growth,GDP per Capita,12387.00405,0.9719605441571625,0.9718310745882943,0.00012946956886816796,0.00012946956886816796,1.3937735395487443
3,American Samoa,2015,Group C: Emerging / High-growth,Imports (% of GDP),98.81129272,0.07552340407723149,0.06913706024134525,0.006386343835886238,0.006386343835886238,68.75065029359915
4,American Samoa,2015,Group C: Emerging / High-growth,Population Growth (%),-1.105856451,0.0012695021236637867,0.00018137221776179672,0.0010881299059019899,0.0010881299059019899,11.714001086866514
5,American Samoa,2016,Group C: Emerging / High-growth,Exports (% of GDP),63.93442623,0.019730678329864648,0.01803911021463277,0.001691568115231877,0.001691568115231877,16.217826950296597
6,American Samoa,2016,Group C: Emerging / High-growth,GDP Growth (%),-1.679389313,0.008235972094941237,0.008281870402485122,-4.589830754388527e-05,0.0,0.0
7,American Samoa,2016,Group C: Emerging / High-growth,GDP per Capita,12326.53842,0.8996454259405996,0.8991607799027912,0.00048464603780840054,0.00048464603780840054,4.646520292353772
8,American Samoa,2016,Group C: Emerging / High-growth,Imports (% of GDP),95.23099851,0.07914966177530307,0.0723118088558026,0.006837852919500467,0.006837852919500467,65.55758196283904
9,American Samoa,2016,Group C: Emerging / High-growth,Population Growth (%),-1.204318086,0.005514645924592136,0.0040984123137177,0.0014162336108744355,0.0014162336108744355,13.578070794510595
10,American Samoa,2017,Group C: Emerging / High-growth,Exports (% of GDP),59.1503268,0.001576676453478359,0.0013191792855390475,0.0002574971679393115,0.0002574971679393115,1.5509021194078154
11,American Samoa,2017,Group C: Emerging / High-growth,GDP Growth (%),-6.98757764,0.025400668380323285,0.019015476150538415,0.0063851922297848696,0.0063851922297848696,38.45793039686411
12,American Samoa,2017,Group C: Emerging / High-growth,GDP per Capita,11611.67759,0.8962842189684221,0.8958043987352446,0.000479820233177497,0.000479820233177497,2.8899510721807977
